번호,제목,작성자_닉네임,작성시간,조회수,네이버_ID,등급
710,청주 EV3 드디어 나올건가봐요ㅠㅠㅠ,쭌I충북,2026.01.27. 09:51,조회 304,ghkdwowns2,준회원
711,신차 탁송 장소 문의,맨들맨들도토리,2026.01.27. 09:46,조회 59,sky_hete,신입
712,회사는 전기차 충전구역이 법으로 지정이 안되나 보네요.,삼부자I오닉5I충청,2026.01.27. 09:38,조회 203,ckstkfkd77,신입
713,이번 설연휴에 부산까지 장거리 생각중입니다. (질문요 ㅠㅠ),abcd123,2026.01.27. 09:38,조회 129,baki5337,준회원
714,EV5 컴포트2 질문,누르Iev3I충북,2026.01.27. 09:37,조회 168,dlekdms0321,준회원
715,전기차 충전 카드는 신용카드 1개면 되나요?,질주I모델yI경기,2026.01.27. 09:35,조회 193,plan7301,준회원
716,재고차 물량 확인,서울과 용인,2026.01.27. 09:28,조회 306,sj2051,신입
717,전기차 전환지원금 신청에 따른 기존 차량 매각/폐차 시기 확인 내용 공유 드립니다.,꼭미남I안성,2026.01.27. 09:27,조회 253,lshghks1987,준회원
718,현대 금리인하 이벤트 하고도 욕먹고 있네요,달려I아이오닉6NI서울,2026.01.27. 09:26,"조회 1,745",jdw1122,준회원
719,모델y 언제 출고 될까요?,질주I모델yI경기,2026.01.27. 09:23,조회 45,plan7301,준회원
720,EV3 옵션 선택 도와주세요,이지파I충남,2026.01.27. 09:20,조회 229,toahnjun,준회원
721,부산보조금,안녕하IEV3I부산,2026.01.27. 09:20,조회 490,shgusals37,준회원
722,EV5 배터리는 테슬라 배터리와 같은 중국 업체가 공급하는 건가요?,나도 전기차 가즈아,2026.01.27. 09:20,조회 229,kyb2148,신입
723,EV5 배터리가...,목공이,2026.01.27. 09:13,조회 267,mokgongso,신입
724,현대 전기차 가격인하 문의,앵두아부지2,2026.01.27. 09:12,조회 202,s9507117,준회원
725,1월 27일 주요신문 헤드라인 및 오늘의 운세,오프미I레이evI군산,2026.01.27. 09:11,조회 53,kshzag1,준회원
726,부산시 지자체 보조금 나왔나요?,앵두아부지2,2026.01.27. 09:08,조회 127,s9507117,준회원
727,아이오닉5 EV5 고민입니다,윤남매IEV6I경기,2026.01.27. 09:07,조회 244,pisety,준회원
728,좋은 아침 화요일입니다~,꼼니짱I캐스퍼EVI경기,2026.01.27. 09:07,조회 3,kjn730718,준회원
729,LH 아파트 전기차 충전소 증설?,아이자이I오산,2026.01.27. 09:02,조회 97,gomtang6,신입
730,현대기아 인증 중고차로 차 팔아보신분 계신가요?,런던의킹I천안,2026.01.27. 09:02,조회 173,qorgkak,준회원
731,아이오닉 9 의 iccu 문제 괜찮은가요?,철조망ㅣ김포,2026.01.27. 08:53,조회 249,gv410,준회원
732,씨라이언7 타시는분,세콤달콤I창원,2026.01.27. 08:35,"조회 1,018",kijun122,신입
733,전기차를 오래 타신 분 계실까요?,미피라네,2026.01.27. 08:29,조회 669,ehdms22,준회원
734,씨라이언7 단점=,듑l타이칸911김포,2026.01.27. 08:20,"조회 2,707",adsl55,우수회원
735,ev5 장기렌트 하신 분 있나요?,아으나I서울,2026.01.27. 08:06,조회 208,ujn2003as,준회원
736,모델Y RWD vs EV6 GT-Line,둘화I세종,2026.01.27. 08:03,조회 573,kings6767,신입
737,테슬라 YL,누시드,2026.01.27. 07:56,조회 212,wangja76,신입
738,EV3도 iccu 잘터지나요,이지파,2026.01.27. 07:50,조회 824,toahnjun,준회원
739,id4 cc3 타이어 교체 질문드립니다.,송 하남,2026.01.27. 07:47,조회 92,vldhthsus17,신입
740,"현기경영진, 더 늦기전에 시행하세요",조셉l수원,2026.01.27. 07:41,"조회 1,079",zentraud,정회원
741,날이 추우니 전비가 안나오긴하네요.,오광l인천,2026.01.27. 07:24,조회 72,catarcis840,준회원
742,험머가 온다하네요,딸셋아범l전남,2026.01.27. 07:14,조회 221,rnfosskfn,신입
743,전기차 타보니 연비보다 중요한 게 따로 있네요,부어lev6l서울,2026.01.27. 07:11,"조회 1,540",xotjq87,준회원
744,안녕하세요 EV3 이랑 EV4가 너무 고민됩니다.,전주노사뷰,2026.01.27. 07:10,조회 538,bookzzang012,신입
745,전기차 선택 고민,죠스I천안,2026.01.27. 07:08,조회 155,175c,신입
746,천스닥,테슬라모델yyyyy,2026.01.27. 06:43,조회 39,chulyong1004,신입
747,하루 140키로 왕복 전기충전요금,광부I니로I평택,2026.01.27. 06:32,조회 667,alstjr6662,준회원
748,아이오닉5가 비싸긴 비싸네요,아야세I용인,2026.01.27. 06:20,"조회 1,730",inex17,준회원
749,충전구 위치,거니IEV3I충주,2026.01.27. 05:56,조회 153,l_optimus_,신입
750,차빼달라고 전화 했으면 최소한 미안하고 고맙다고는 해라,화이팅폴스타2경기,2026.01.27. 05:13,"조회 1,487",2690106,준회원
751,보조금 나온곳은 출고되나요?,1프로만I레이I동탄,2026.01.27. 04:59,조회 347,suand777,신입
752,다들 고정용쓰시나요? 이동형충전기쓰시나요?,한국I테슬라I울산,2026.01.27. 04:42,조회 110,netking123,준회원
753,BMW 무제한 충전 차지비 월 사용량과 패턴. 정지 예방에 관하여,오승환V서울,2026.01.27. 04:24,조회 544,aman18,준회원
754,혹시 다들 충전하는거 안불편하신지요,체크인데이day,2026.01.27. 04:23,조회 331,tjdgus9869,준회원
755,충전소 질문,체크인데이day,2026.01.27. 04:22,조회 23,tjdgus9869,준회원
756,같은 날 시승해본 아토3와 씨라이언7,넹넹댕댕I서울,2026.01.27. 04:17,조회 271,pshgo01,준회원
757,집밥 자가 섪치하신 분 계실까요 ?,하트뿡lEV5I아산,2026.01.27. 02:51,조회 170,lwj2702,준회원
758,보조금문의,백보l아오5l경기,2026.01.27. 02:38,조회 107,shje4536,신입
759,처음글쓰네요,디오Iev3I경기,2026.01.27. 02:05,조회 46,1203miss,신입
760,전기차 충전요금,앙팡임I대구,2026.01.27. 02:02,조회 84,dmldid00,신입
761,비바람이 있는 상황에서 실외 V2L를 활용하신 경험을 공유 받고 싶습니다.,꽃I아이오닉5I화성,2026.01.27. 01:41,조회 190,hongchanho,신입
762,금일 날씨입니다,앙팡임I대구,2026.01.27. 01:34,조회 66,dmldid00,신입
763,창원시 보조금,캐스퍼 쭌냉,2026.01.27. 01:26,조회 266,noadandy,신입
764,테슬라 모델3 프리미엄 롱레인지 RWD 대기 기간?,아이자이I오산,2026.01.27. 01:25,조회 196,gomtang6,신입
765,초딩 아이들과 주말 차박이 목적 입니다.,매튜I서울,2026.01.27. 01:24,조회 141,byseob,준회원
766,친환경차 및 자동차 관리기준 변화,앙팡임I대구,2026.01.27. 01:16,조회 69,dmldid00,신입
767,아이오닉5 EV6 페리모델도 ICCU 터지는 글 보고.. 공항가면서 걱정했었네요,아빠다ev6전북,2026.01.27. 01:12,조회 186,tata321,준회원
768,아이오닉9 지금 산다 (1월) vs 더 기다린다,매튜I서울,2026.01.27. 01:11,조회 690,byseob,준회원
769,EV5 vs 모델3 고민...,하이요yI구오닉I경기,2026.01.27. 01:08,조회 346,moonjs1012,준회원
770,ev6 유예할부,광명I이치고,2026.01.27. 01:08,조회 124,offiic,준회원
771,미국 테슬라모델 y는 입고가 될까요?,치우천왕7I 경기,2026.01.27. 01:06,조회 111,isharin,준회원
772,하브는 전환보조금 안되네요,디엔장l서울,2026.01.27. 01:00,조회 101,unknownjoon,준회원
773,pv7은 언제 출시할까요?,치우천왕7,2026.01.27. 00:54,조회 33,isharin,준회원
774,요즘 충전비,푸푸맘Iev6I서울,2026.01.27. 00:46,조회 61,jmki9,신입
775,보조금못받을까봐 걱정되네요ㅠㅠ,콩콩마,2026.01.27. 00:45,조회 321,ggossin1,신입
776,iccu 잘 터지나요..,앙팡임I대구,2026.01.27. 00:41,조회 776,dmldid00,신입
777,전기차 보조금 관련 질문드립니다,누렁이lev3l전주,2026.01.27. 00:38,조회 137,jkh660211,신입
778,2026년 인천시 전기차 보조금 전기자동차 민간보급사업,해I모y아5I서울,2026.01.27. 00:34,조회 540,hwajakim2,준회원
779,아이오닉5 가격가성비 vs 아이오닉5n성능 무엇을 선택하실껀가요?,서울 한영,2026.01.27. 00:18,조회 119,youngsoohan,준회원
780,전기차 보조금 부터 출고까지의 기간,당근l대전I아이오닉5,2026.01.27. 00:18,조회 583,whangus17,신입
781,썬팅 필름 농도를 알 수 있을까요?,kick세닉seoul,2026.01.27. 00:16,조회 159,sdrun,준회원
782,요즘 아이오닉5 vs 모델y 고민중인데 지금 새로산다면 무엇을 사실건가요?,서울 한영,2026.01.27. 00:16,조회 253,youngsoohan,준회원
783,요즘 전기차 가격 경쟁 진짜 본격화된 느낌이네요,헌이EV5l나주,2026.01.26. 23:56,조회 322,ydh8687,신입
784,통영시 2026년 전기자동차 보급사업 시행,해I모y아5I서울,2026.01.26. 23:55,조회 246,hwajakim2,준회원
785,테슬라에 국산 차 '맞불'...불붙은 전기차 가격 전쟁,해I모y아5I서울,2026.01.26. 23:51,조회 262,hwajakim2,준회원
786,EV5 경산에서 자가 출고해서 왔어요,헌이EV5l나주,2026.01.26. 23:51,조회 410,ydh8687,신입
787,ev3 17인치 19인치,단이야,2026.01.26. 23:47,조회 107,kgssg,신입
788,"창원시, 2026년 전기차 민간 보급사업 본격 추진…1차 물량 1.7배 확대",해I모y아5I서울,2026.01.26. 23:44,조회 142,hwajakim2,준회원
789,"전비 때문에 2륜 고려 중인데, 실제 주행 안정성은 궁금합니다.",비루스l아5N라인l화성,2026.01.26. 23:42,조회 109,punixs,준회원
790,"파주시, 전기차 구매 보조금 27일부터 접수…'전환지원금' 첫 도입",해I모y아5I서울,2026.01.26. 23:42,조회 131,hwajakim2,준회원
791,보조금이 언제까지 동날지 아시는분? 제작년어땠나요?,서울 한영,2026.01.26. 23:36,조회 250,youngsoohan,준회원
792,EV5 어스 필수 옵션 뭐하시나요?,우주문방구IEV5I경기,2026.01.26. 23:35,조회 280,wouldbe2010,신입
793,GV90 언제쯤 출시될까요???,꽁이,2026.01.26. 23:35,조회 115,pjhkzz,신입
794,조금만 더 기다리면 전기차 치킨게임이 시작될까요??,강원I코인바텐더,2026.01.26. 23:32,조회 229,nadedoo,신입
795,현대 유예할부 승계 궁금한게 있습니다,귀수산I화성,2026.01.26. 23:30,조회 186,qwerzxas,준회원
796,테슬라 할인 이유 이거 때문인가요??,흰둥ll전남,2026.01.26. 23:29,조회 569,hoss__,준회원
797,"테슬라, ‘HW4.5’ 조용히 투입하나. 2026년형 모델 Y에서 ‘AP45’ 표기 발견…차세대 AI5 전 단계 추정",해I모y아5I서울,2026.01.26. 23:29,조회 566,hwajakim2,준회원
798,첫 전기차 고민,먼지집사I경기,2026.01.26. 23:24,조회 88,o0o3ov,신입
799,ev5 차주분 승차감? 2열?,인천l포터르기니,2026.01.26. 23:19,조회 178,akpr7639,준회원
800,아이오닉9 패달부분 전선 보이는게 맞나요?,세종반곡무,2026.01.26. 23:19,조회 180,dearyou4,신입
801,두번째 전기차 출고했습니다,아이체크lPV5l경기,2026.01.26. 23:04,조회 99,kdw3381287,신입
802,EV3 보험료와 자동차세,우디루,2026.01.26. 23:02,조회 178,happyengel05,준회원
803,야맹증 틴팅...,그레이트훗 I 서울,2026.01.26. 23:01,조회 87,hsskee,준회원
804,오늘 ev5와 아이오닉5 대전에서 시승했고 푸조가서 5008 신형 보고왔는데요 아이오닉전비 2.8??? 이게 원래 이런가요,웅진동I충남,2026.01.26. 23:01,조회 190,sandongne,준회원
805,보통 차량관리는??,샘 I EV4 I 청주,2026.01.26. 23:00,조회 57,dndbqlcrkfdltkdals12,신입
806,빨리 출고해서 여행가보고싶네요.,훛츄I화성,2026.01.26. 23:00,조회 45,ddonghee45,준회원
807,세닉 vs ev5 vs 아이오닉5,웅진동I충남,2026.01.26. 22:58,조회 243,sandongne,준회원
808,전기차 주차,우디루,2026.01.26. 22:57,조회 55,happyengel05,준회원
809,아이오닉6 시승 후 계약은 했지만...,인천I초뭉,2026.01.26. 22:57,조회 357,trees81,신입
810,G80 전기차로 기변하려합니다.,구름llBMWi5M60ll구미,2026.01.26. 22:55,조회 52,jip7515,준회원
811,EV3 / EV6 고민중,버럭쟁이 EV6I부산,2026.01.26. 22:54,조회 269,fe9870,신입
812,EV5 견인장치 설치,그레이트훗 I 서울,2026.01.26. 22:54,조회 36,hsskee,준회원
813,첫 전기차 고민,훛츄I화성,2026.01.26. 22:53,조회 50,ddonghee45,준회원
814,EQA 괜찮나요?,라이너I전남,2026.01.26. 22:49,조회 89,ohjang86,신입
815,생각할수록 더 빨리 사지않은게 후회되네요,윤은준아빠I예정I서울,2026.01.26. 22:44,조회 318,huge79,신입
816,청주 보조금 관련,샘 I EV4 I 청주,2026.01.26. 22:43,조회 244,dndbqlcrkfdltkdals12,신입
817,ev6.에어롱레인지 차주분들(장단점),까대기l세닉l인천,2026.01.26. 22:40,조회 94,nsw0407,준회원
818,"샤오펑, 자동차 기준 휴머노이드 로봇 프로토타입 완성...""2026년 양산 목표"" 전기차 기술, 로봇으로 확장",해I모y아5I서울,2026.01.26. 22:37,조회 102,hwajakim2,준회원
819,전기차 전기값,샘 I EV4 I 청주,2026.01.26. 22:37,조회 250,dndbqlcrkfdltkdals12,신입
820,모델y fsd,레드콤l속초,2026.01.26. 22:33,조회 99,fire2505,신입
821,어느 유튭의 자동차 업체 시간당 인건비,콤프I모델3롱I파주,2026.01.26. 22:31,조회 259,sbasa,준회원
822,테슬라 주니퍼 구입하면 나중에 fsd 도입시 지원되나요???,구도일Iev3I세종,2026.01.26. 22:29,조회 187,pkjlg88,준회원
823,Ev4 전비,신호갑lEV4l대전,2026.01.26. 22:27,조회 139,fbtlgus12345,준회원
824,지자체 보조금이 줄어들었나요?,아오닉l경기,2026.01.26. 22:27,조회 111,hoonhed,신입
825,EV5 GT 가격이랑 보조금이 얼마나 될까요!?,라프지니,2026.01.26. 22:25,조회 142,lsjelan,신입
826,충전구역 주차시간이 법령으로 변동된건가요??,NlKE,2026.01.26. 22:23,조회 234,wptjsdkel,신입
827,"도와주세요...ㅜㅜㅋㅋㅋ (테슬라 모3, 벤츠 eqa, 비엠i4)",바꿈속,2026.01.26. 22:21,조회 250,sh81121,신입
828,보조금은 보통 작년이랑 유사하게 나오나요?,최지lev4l대전,2026.01.26. 22:20,조회 42,rokmc_1038,신입
829,추운날씨에 전비도 박살나지만...,썸원Iev4I파주,2026.01.26. 22:15,조회 157,leemc22,준회원
830,"파주시, 전기차 구매 보조금 27일부터 접수…'전환지원금' 첫 도입",해I모y아5I서울,2026.01.26. 22:15,조회 151,hwajakim2,준회원
831,조기폐차도 함께 진행하고싶은데요,홀릭플라워I경북,2026.01.26. 22:10,조회 130,greenwiny,준회원
832,EV6 재고차 계약,삼별초,2026.01.26. 22:09,조회 554,impskim,신입
833,아이오닉6 4wd 롱레인지 프레스티지 계약했습니다.,소유보,2026.01.26. 22:09,조회 130,ucan26s,준회원
834,이런 옵션 랜트카 있을가요?,호랭이IEV3I파주,2026.01.26. 22:07,조회 29,enrjql11111,신입
835,현대 전기차 할인될까요?,모라모I인천,2026.01.26. 22:03,조회 196,ookk2007,준회원
836,폴스타 싱글과 듀얼고민,부탄가스I인천,2026.01.26. 21:56,조회 124,jueun0930,준회원
837,Ev4 계약하신 분들,부이lEV4l강원,2026.01.26. 21:53,조회 284,dltkdgns603,준회원
838,ev5 계약하고 구매전입니다,아이시스741,2026.01.26. 21:53,조회 404,insutain0519,신입
839,이번에 모델3 400키로 타봤는데 정말신기하더라고요,저공해lEV6l대전,2026.01.26. 21:50,조회 246,remains1,준회원
840,원주도 차량별 지원금은 나왔군요 ~,부이lEV4l강원,2026.01.26. 21:48,조회 177,dltkdgns603,준회원
841,"매일 카페만 보고 있습니다-.,-",꼭미남I안성,2026.01.26. 21:45,조회 127,lshghks1987,준회원
842,아이오닉5 구매,백보l아오5l경기,2026.01.26. 21:41,조회 91,shje4536,신입
843,경남 보조금 박살났군요 ㅎㅎ,파흐l아이오닉6l경남,2026.01.26. 21:40,조회 421,dlacodn123,준회원
844,자유로 일산 방향 사고 났네요. 조심하세요.,다시돌아ㅣ서울,2026.01.26. 21:40,조회 112,10dnjschd,준회원
845,글 제대로 읽으려면 준회원이 되어야 한다는데,샤프슈터I이천,2026.01.26. 21:38,조회 79,toughai,신입
846,byd 보고 왔는데 생각했던거 보다 좋네요,비석사냥IEV3I부산,2026.01.26. 21:37,조회 275,spforcebde,신입
847,충남 부여 지자체 결정난건가요?,태광소현I봉고evI부여,2026.01.26. 21:36,조회 364,cm3810,준회원
848,보조금 신청 관련해서 궁금한점 있습니다.,삐삐I아직I청주,2026.01.26. 21:34,조회 134,sangohho,준회원
849,[질문]출퇴근 고민과 전기차 2천만원추천부탁드립니다,성장99,2026.01.26. 21:34,조회 117,skywhd15,신입
850,"""현기차 50% 원가 절감?""…아틀라스 생산성, 中 인건비 6분의1 수준",해I모y아5I서울,2026.01.26. 21:33,조회 168,hwajakim2,준회원
851,기아자동차 ev5 유예할부 견적보고 왔습니다,배불러라I청주,2026.01.26. 21:33,조회 583,18xodzm5,신입
852,ev6와 원주 스톤크릭,귀연lev6l경기,2026.01.26. 21:26,"조회 1,399",mingkicute,우수회원
853,블루멤버스 포인트,마요네즈l코나l경기,2026.01.26. 21:24,조회 88,tlatnfrnfjrl38,준회원
854,기존에 개인용 충전기 설치된 건물에 추가로 한개더 설치할시 비용 문의,가즈아96,2026.01.26. 21:21,조회 64,qjawls9130,준회원
855,김포 보조금 나오기전..,뽀글이l김포,2026.01.26. 21:21,조회 132,whektlrk23,신입
856,아이오닉5 vs 주니퍼 Y RWD,아자쓰I없음I포항,2026.01.26. 21:20,조회 217,elle247,준회원
857,모y ev5,리리파파I경남,2026.01.26. 21:20,조회 96,qubid,준회원
858,EV2는 국내출시 안하는거 확정이죠?,온소lEv3l군산,2026.01.26. 21:15,조회 313,syhun0925,준회원
859,타이칸..,베테랑lEV4l청주,2026.01.26. 21:14,조회 44,hbj9769,신입
860,EV3 EV4 고민들 많이하시는군요. 저도고민중..,태광소현I봉고evI부여,2026.01.26. 21:12,"조회 1,443",cm3810,준회원
861,구축아파트 전기차 충전 전용 구역이 없는데요,봄날I볼트euvl경기,2026.01.26. 21:11,조회 100,kmmoon82,준회원
862,"EV6, 주니퍼 고민중입니다.",스듯스I대전,2026.01.26. 21:11,조회 122,11_01_00,신입
863,과연 전기차가 정답일지.............,용쏭아빠I동두천,2026.01.26. 21:09,조회 440,djwlstjs3,신입
864,전기차 종합보험 db 화재시 보험특약,스타리아3밴,2026.01.26. 21:02,조회 132,audgns8109,신입
865,현대 뉴 아이오닉이 구오닉인가요?,호도호도,2026.01.26. 20:57,조회 60,patalliro,신입
866,경기도 군포 아이오닉5 카마스터 쪽지 부탁드려요ㅠㅠ,찐롱전I경기,2026.01.26. 20:53,조회 29,luffy1023,신입
867,작년에 부천에서 전기차 보조금 받고 출고 하신 분 계신가요,빠매IEV4I부천,2026.01.26. 20:52,조회 48,sirbeowulf,준회원
868,Ev6 스탠다드 vs 롱레인지,초년생I경기,2026.01.26. 20:51,조회 143,chohs111,신입
869,그레칼레 풀고레 vs EQE500,메렁메렁,2026.01.26. 20:48,조회 72,plmk19,준회원
870,키로수많은 폴스타2 중고입양 별로일까요?,애나ㅣ미정ㅣ대구,2026.01.26. 20:48,조회 111,nonexisent,준회원
871,"울산시, 전기차 구매보조금 지원…승용차 최대 893만원",해I모y아5I서울,2026.01.26. 20:48,조회 188,hwajakim2,준회원
872,페리오닉 시동 안걸림.. 브레이크 점검??? ㅋㅋㅋ,볼트I모델YI경기,2026.01.26. 20:47,조회 100,gkaksmsdkdn,준회원
873,ev5 깡통 탈만할까요?ㅋㅋ (3857만원...),부산ll노력,2026.01.26. 20:45,"조회 2,263",leedj2892,준회원
874,"폭스바겐 'ID.4', 올해 보조금 423만원…“수입 전기차 최대”",해I모y아5I서울,2026.01.26. 20:44,조회 186,hwajakim2,준회원
875,전기차 충전궁금해요,대전ㅣ 민서파파,2026.01.26. 20:41,조회 35,tkfkd999dlf,준회원
876,테슬라 모델y전동 선쉐이드 팝니 주니퍼,마곡 골프,2026.01.26. 20:37,조회 50,bkchoic,신입
877,지자체 보조금 (동두천시),용쏭아빠I동두천,2026.01.26. 20:35,조회 227,djwlstjs3,신입
878,테슬라 주니퍼 중고거래시 이게 맞을까요?,부산ll갈매기,2026.01.26. 20:33,조회 216,hotqa,준회원
879,언젠가 대중 전기차가 주행거리 700 넘을 수 있을까요?,문젯거리,2026.01.26. 20:32,조회 214,jamekn,준회원
880,"군포시, 2026년 친환경 자동차 보조금 신설 및 신청 안내",해I모y아5I서울,2026.01.26. 20:32,조회 130,hwajakim2,준회원
881,보조금 신청 후 출고,전기카쟁이lev5l청주,2026.01.26. 20:32,조회 121,sayi4552554,준회원
882,원격 스마트주차보조 오늘 안 사실!!,하박이Iev9I의정부,2026.01.26. 20:31,조회 176,yaessay,준회원
883,경남 저희동네 보조금 나왔는데..,Ev3l경남 스펙트,2026.01.26. 20:27,조회 378,csg3525,준회원
884,페리오닉 7천km iccu 터짐후기,망고젤리l아5l서울,2026.01.26. 20:22,조회 663,dear665,준회원
885,출퇴근 연비 볼때마다 전기차 사고싶내요...,부산ll노력,2026.01.26. 20:21,조회 147,leedj2892,준회원
886,Ix2 다들 배정 받으셨나여? ㅠ ㅠㅠㅠㅠㅠ,양여니I레이evI경남,2026.01.26. 20:17,조회 229,seoyeon0411,준회원
887,재고차 받으면 언제즘 출고되나요?,기하가라IEV4I부산,2026.01.26. 20:17,조회 170,bbaexo,준회원
888,워터펌프교체뒤 충전량변화 충전,무사신니로evl부산,2026.01.26. 20:16,조회 44,juno2597,준회원
889,아이오닉5 계약 손해보는 느낌,졸린짱구l보유전l경기,2026.01.26. 20:13,조회 398,k39man,준회원
890,전기차 처음 구입해보는데 지원금 금방 소진되는편인가요?,국제결혼도전II광주,2026.01.26. 20:11,조회 158,outspoken6,신입
891,보조금 유형마다 인도순서가 정해지는지?,그린델l모yl경북,2026.01.26. 19:59,조회 114,seong0415,신입
892,차 옆에 지나가면서 사이드 접는 이상한 사람,산타IEV4I강원,2026.01.26. 19:58,조회 257,0112018123,준회원
893,아이오닉9 구매 견적 문의,서산물살이,2026.01.26. 19:54,조회 173,1998and,신입
894,아파트 완속충전 연장케이블 추천 해주세요..,훅기사l대구,2026.01.26. 19:54,조회 46,hey25s,준회원
895,아이오닉5 짐실을때,로드김,2026.01.26. 19:53,조회 88,zlzlgkgk2,준회원
896,ev3와 ev6중에 고민입니다.,마산딸기I부천,2026.01.26. 19:50,조회 329,hak1862,준회원
897,파워큐브이동형,Caesar777,2026.01.26. 19:45,조회 62,wndnrns,신입
898,테슬라 모Y 주문취소했네요 유유~,추새,2026.01.26. 19:41,조회 714,mahakala1984,준회원
899,아9 계약직전 문의,유리상자I경기,2026.01.26. 19:40,조회 77,kimhkukk,준회원
900,주니퍼 2열 승차감 어떤가요?,미니심슨I대구,2026.01.26. 19:36,조회 293,panmankim,신입
901,BMW IX 승차감이 i7 과 비슷한급 인가요?,아하I없음I대전,2026.01.26. 19:36,조회 212,thepkh0,신입
902,보조금 서류제출,전기차가즈아I거제,2026.01.26. 19:35,조회 210,rkdalsrl0750,준회원
903,보험사에서 경매가액+수리비가 차량가액을 넘어서도 전손처리가 안된다고 손해사정인이 말하는데 궁금합니다,사월Iix50l송도,2026.01.26. 19:33,조회 129,chohyun3500,준회원
904,재고차 잡을시 차량가격,진황제I충남,2026.01.26. 19:27,조회 366,gbajs59,준회원
905,[아이오닉9 2026 올해의 차 수상 축하] 패밀리카의 또 다른 대안,늉늉I경기,2026.01.26. 19:27,조회 58,6612krs,준회원
906,GV70 EV 타시는분들 장단점은 무엇인가요?,아하I없음I대전,2026.01.26. 19:24,조회 199,thepkh0,신입
907,마칸은 귀여워요 ㅎㅎ,아하I없음I대전,2026.01.26. 19:23,조회 141,thepkh0,신입
908,ev4 딜러 서비스요,드림카쇼크ll인천,2026.01.26. 19:21,조회 262,yoonvly8115,신입
909,타이칸 페리가 눈물이 없어져서 전작보다 이쁘긴하네요,아하I없음I대전,2026.01.26. 19:21,조회 168,thepkh0,신입
910,자녀 혜택 문의,하얀늑대I대구,2026.01.26. 19:20,조회 108,prettysd,신입
911,파워큐브 경부하 설정 어케하는건가요?,플러스ll대전,2026.01.26. 19:16,조회 118,cdy0425,준회원
912,EV5 견적 받으신 분들 딜러 지원 얼마나 받으세요?,야래l니로evI평택,2026.01.26. 19:11,조회 412,ariellove83,준회원
913,현대는 차량할인 없이 저금리 프로모션으로 끝인가요?!?,늉늉I경기,2026.01.26. 19:07,조회 345,6612krs,준회원
914,보조금이 언제까지 나올까여?,파파IEV9I경기,2026.01.26. 19:00,조회 161,sinbiehs,준회원
915,요즘 전기차 중고도 가격괜찮나요??,전기차로 바꿀예정,2026.01.26. 18:59,조회 133,cksdms977,준회원
916,빌라촌 전기 차 충전 할 때 질문드려요,론Iev4I경기시흥,2026.01.26. 18:57,조회 79,aza119720,신입
917,ev5 에어롱 견적문의,삐까츄라이츄ㅣ전북,2026.01.26. 18:55,조회 201,cltjd9680,신입
918,울산 보조금은 진짜 ㅋㅋㅋ 안그래도 작은데 100만원 넘게 줄었네요,침차기Iev9I울산,2026.01.26. 18:47,조회 256,dn236236,준회원
919,PV5 워크스루라는 모델도 나오네요,국제결혼도전II광주,2026.01.26. 18:46,조회 125,outspoken6,신입
920,지원금 받기위해 지역 바꾸는건 힘든가요?,놈구,2026.01.26. 18:46,조회 261,jmj1825,준회원
921,헤이딜러 제로로 차량을 판매하면 보통 몇일정도 걸릴까요?,준장인I미정I화성,2026.01.26. 18:18,조회 355,sincf2003,준회원
922,중고차로 팔때 보조금?,조피볼락Iq6I서울,2026.01.26. 18:12,조회 143,swj8800,신입
923,양평군 보조금은 처음 소문난거보다 떨어졌네요,키도리m양평,2026.01.26. 18:10,조회 125,love772kim,준회원
924,끼어들기 접촉사고 몇대몇 보시나요?,별명이없음IGV60I울산,2026.01.26. 18:10,조회 172,honeyhiya,준회원
925,오늘 아6 시승하고 왔습니다 ^^,아오I오닉6I이천,2026.01.26. 18:02,조회 209,mell0014,신입
926,보조금이 깡패긴하네요,구름li5l전남,2026.01.26. 17:57,"조회 2,473",bawz,신입
927,오늘 폴스타4 시승하고 왔네요.,국랑스스I성남,2026.01.26. 17:55,조회 271,hhssyy444,신입
928,지나가다 찍은 아6N,통신가게I경기,2026.01.26. 17:53,조회 266,pyk0582,신입
929,충전량,사탕I세닉I대구,2026.01.26. 17:53,조회 19,mansc64,준회원
930,"케니 스텝님, LED 렌턴 나눔 감사합니다~^^",어른왕자l아5Nl강원,2026.01.26. 17:52,조회 16,pooh_2500,준회원
931,"[아이오닉9 2026 올해의 차 수상 축하] 전동화 시대, 가장 완성도 높은 해답",허영이IeG80I용인,2026.01.26. 17:52,조회 57,lv60,준회원
932,화성시 언제쯤 올라오나요..,이브이아홉마리I화성,2026.01.26. 17:47,조회 139,kangjae07,신입
933,전기차 바꿔야 할지 고민중입니다.,아지I이트론I군포,2026.01.26. 17:46,조회 119,khy9134,준회원
934,아파트내 전기충전시설이 부족할때...,훅기사l대구,2026.01.26. 17:45,조회 204,hey25s,준회원
935,전기차세차....,사탕I세닉I대구,2026.01.26. 17:44,조회 240,mansc64,준회원
936,"기아 할인 된다는건 대체 어디서 정보를 얻어야 할까요?(서울, EV5, EV3, 유예할부 등)",수수킴ll서울,2026.01.26. 17:34,조회 898,go1_kim,준회원
937,중고차 한참 알아보다가 조금 망설여지네요.,캠어I토레스I수원,2026.01.26. 17:33,조회 119,kcl1454,준회원
938,아이오닉5 풍절음 어떤가요??,운남가이준비중,2026.01.26. 17:31,조회 185,novapanic,신입
